Nom de l'hôtel,Lieu,Emplacement,Évaluation,Chauffage,Climatisation,Coffre fort dans la chambre,Salle de bains avec baignoire,Salle de bains avec douche,WIFI Gratuit dans les locaux communs,WIFI Gratuit dans la chambre,Bar,Restaurant (a la carte),Restaurant (Buffet),Snack-bar,Restaurant,Piscine
Le Sultan,Hammamet,Non trouvé,4.5,1,1,1,1,1,1,0,1,1,1,1,1,0
Lella Baya & Thalasso,Hammamet,Non trouvé,4.0,1,1,1,1,1,1,0,1,1,1,1,1,0
The Russelior,Hammamet,Non trouvé,4.0,1,1,1,1,1,1,0,1,1,1,1,1,0
Magic Life Africana,Hammamet,Non trouvé,4.5,1,1,1,1,1,0,0,1,0,1,1,1,0
Houda Yasmine Hammamet,Hammamet,Non trouvé,4.0,1,1,1,0,1,1,0,1,1,1,0,1,0
Hammamet Hotel & Spa,Hammamet,Non trouvé,4.0,0,0,0,0,0,0,0,1,0,1,0,1,0
El Mouradi El Menzah,Hammamet,Non trouvé,3.5,1,1,0,0,0,1,0,0,0,1,0,1,0
TUI BLUE Manar,Hammamet,Non trouvé,4.5,1,1,1,1,1,1,0,1,1,1,1,1,0
Shalimar Aquapark,Hammamet,Non trouvé,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia Lodge,Hammamet,Non trouvé,4.5,0,0,0,0,0,1,0,0,0,1,0,1,0
Bel Azur Thalasso & Bungalows,Hammamet,Non trouvé,4.5,1,1,1,1,1,1,1,1,1,1,1,1,0
Sol Azur Beach Congres,Hammamet,Non trouvé,4.0,1,1,0,1,1,0,0,1,1,1,0,1,0
Menara,Hammamet,Non trouvé,3.5,1,1,1,0,0,0,0,0,1,1,0,1,0
Golden Tulip President Hammamet,Hammamet,Non trouvé,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUI BLUE Palm Beach Hammamet,Hammamet,Non trouvé,4.5,0,0,0,0,0,0,0,1,1,1,0,1,0
El Mouradi Hammamet,Hammamet,Non trouvé,3.5,0,1,0,1,0,1,0,0,0,1,1,1,0
TMK Atrium,Hammamet,Non trouvé,4.0,1,1,0,1,0,1,1,1,0,1,0,1,0
Steigenberger Marhaba Thalasso,Hammamet,Non trouvé,4.5,1,1,1,1,1,1,0,1,1,1,1,1,0
Radisson Blu Resort and Thalasso Hammamet,Hammamet,Non trouvé,4.0,1,1,1,1,1,0,0,1,1,1,0,1,0
